"Type","District or Type","School Name","Address","City","Grade","Zip Code","Phone","Website","Administrator"
"C","Charter","Academic and Personal Excellence Charter High School (APEX)","2859 E. Elvira","Tucson","9-12",85706,"889-4246","http://www.apexcharterschool.org","Jim Parks"
"C","Charter","Academy Adventures Primary School","3902 N. Flowing Wells","Tucson","K-3",85705,"407-1200",,"MaryAnn Penczar"
"C","Charter","Academy of Math and Science","1557 W. Prince","Tucson","1-11",85705,"293-2676","http://www.amstucson.org","Tatyana Chayka"
"C","Charter","Academy of Tucson Elementary School","9209 E. Wrightstown Rd.","Tucson","K-5",85715,"886-6076",,"Caroline Martin"
"C","Charter","Academy of Tucson High School","10720 E. 22nd St.","Tucson","9-12",85748,"733-0096",,"Sue Pearson"
"C","Charter","Academy of Tucson Middle School","2300 N. Tanque Verde Loop","Tucson","6-8",85749,"749-1413",,"Holly Leman"
"C","Charter","Accelerated Learning Laboratory Elementary School","5245 N. Camino de Oeste","Tucson","K-5",85745,"743-1113",,"David Jones, Fernando Armendariz"
"C","Charter","Accelerated Learning Laboratory High School","5245 N. Camino de Oeste","Tucson","9-10",85745,"743-2256",,"David Jones, Fernando Armendariz"
"C","Charter","Accelerated Learning Laboratory Middle School","5245 N. Camino de Oeste","Tucson","6-8",85745,"743-2256",,"David Jones, Fernando Armendariz"
"C","Charter","Adalberto M. Guerrero Middle School","2797 N. Introspect Dr.","Tucson","6-8",85745,"807-2836","http://www.guerreroschool.org","Carmen Campuzano"
"C","Charter","Allsport Academy","8570 E. 22nd St.","Tucson","5-9",85710,"731-2150","http://www.allsportacademy.com","Elizabeth Shaw"
"C","Charter","Alta Vista Charter High School","5040 S. Campbell","Tucson","9-12",85706,"294-4922",,"Alicia Alvarez"
"C","Charter","Alternative Computerized Education High School (ACE)","1929 N. Stone","Tucson","9-12",85705,"628-8316",,"Cochelle Dubbs"
"C","Charter","AmeriSchools Academy","1150 N. Country Club","Tucson","K-8",85710,"620-1100","http://www.amerischools.org","Greg Gaines"
"C","Charter","AmeriSchools College Preparatory Academy","7444 E. Broadway","Tucson","9-12",85710,"722-1200","http://www.amerischools.org","Charlene Mendoza"
"C","Charter","Aztlan Academy","3376 S. 6th Ave.","Tucson","9-12",85713,"573-1500",,"Judith Bisignano"
"C","Charter","BASIS School","3825 E. 2nd St.","Tucson","5-12",85716,"326-6367",,"Carolyn McGarvey"
"C","Charter","Calli Ollin Academy","200 N. Stone","Tucson","9-12",85701,"882-3029","http://www.calliollin.com","Shannon Dineley"
"C","Charter","Canyon Rose Academy","2401 S. Wilmot","Tucson","9-12",85711,"514-5112","http://www.canyonroseacademy.com","Clay Connor"
"C","Charter","Carden of Tucson","5260 N. Royal Palm Dr.","Tucson","K-8",85705,"293-6661","http://www.cardenoftucson.org","Bette Jeppson"
"C","Charter","Cesar Chavez Middle School","3376 S. 6th Ave.","Tucson","6-8",85713,"573-1500",,"Judith Bisignano"
"C","Charter","Children Reaching for the Sky Preparatory","1844 S. Alvernon Way","Tucson","K-6",85711,"790-8400","http://www.crscharterschool.com","Lee Griffin"
"C","Charter","Children's Success Academy","935 E. Bilby Rd.","Tucson","K-5",85706,"799-8403","http://www.childrenssuccess.org","Nanci Aiken"
"C","Charter","City High School","48 E. Pennington St.","Tucson","9-10",85701,"623-7223","http://www.cityhighschool.org","Carrie Brennan"
"C","Charter","Compass High School","8250 E. 22nd St. #128","Tucson","9-12",85710,"296-4070","http://www.compasshs.com","Debbie Ferguson"
"C","Charter","Davis Education Center","5660 S. 12th Ave.","Tucson","K-8",85706,"722-8130","http://www.deccs.org","Gwen Nesbitt"
"C","Charter","Desert Mosaic School","5757 W. Ajo Way","Tucson","K-12",85735,"578-2022",,
"C","Charter","Desert Rose Academy","20 W. Fort Lowell","Tucson","9-12",85705,"696-0819","http://www.desertroseacademy.com","Eileen Geraghty"
"C","Charter","Desert Springs Academy","3833 E. 2nd St.","Tucson","K-6",85716,"321-1709",,"Lydia Capara"
"C","Charter","Desert Springs Academy","10355 E. 29th St.","Tucson","K-8",85748,"546-9966",,"Lydia Capara"
"C","Charter","Eastpointe High School","8495 E. Broadway","Tucson","9-12",85710,"731-8180",,"Bahiyyih Hiatt"
"C","Charter","Edge Charter School","231 W. Giaconda Way #113","Tucson","9-12",85704,"877-9179","http://www.edgecharterschool.com","Reese Millen"
"C","Charter","Edge Charter School","2555 E. 1st St.","Tucson","9-12",85716,"881-1389","http://www.edgecharterschool.com","Reese Millen"
"C","Charter","Edge Charter School","2800 E. Broadway","Tucson","9-12",85716,"881-8940","http://www.edgecharterschool.com","Reese Millen"
"C","Charter","Edge Charter School","4747 W. Calle Vicam","Tucson","9-12",85746,"879-5875","http://www.edgecharterschool.com","Reese Millen"
"C","Charter","Edge Charter School","15500 S. Sahuarita Park Rd.","Sahuarita","9-12",85629,"393-1690","http://www.edgecharterschool.com","Reese Millen"
"C","Charter","Great Expectations Academy","1466 W. Camino Antigua","Sahuarita","K-8",85629,"399-2121",,"Beth Phillips"
"C","Charter","Ha:San Preparatory and Leadership School","1333 E. 10th St.","Tucson","9-12",85719,"882-8826","http://www.hasanprep.org","Delbert Ortiz"
"C","Charter","Hermosa Montessori Charter School","12051 E. Fort Lowell","Tucson","K-8",85749,"749-5518","http://www.hermosaschool.org","Sheila Stolov"
